Country,Year,Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Deaths,ParentLocationCode,Country Code,GDP,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
Uruguay,2016,98.56147,149,13.4,18.7011,9.628,AMR,URY,57480.788380312,3.413768,0.047135,0.236321,0.716255,1.232253
Vanuatu,2004,78.4,168,14.2,21.9375,5.718,WPR,VUT,364.996869129618,0.212431,0.006628,0.03159,0.087801,0.130388
Vanuatu,2014,84.7,136,14.8,21.1436,6.048,WPR,VUT,772.3159838184299,0.269942,0.008618,0.041532,0.106455,0.158662
Vanuatu,2015,85.05868,132,15.5,21.1806,6.001,WPR,VUT,730.8708029670511,0.27645,0.008738,0.042417,0.109513,0.162057
Zambia,2002,69.14922,594,26.9,22.3213,15.292,AFR,ZMB,4193.85044542632,10.508294,0.437639,1.980282,5.044385,7.29232
Zambia,2007,61.12709,500,24.1,19.8376,11.351,AFR,ZMB,14056.957976264799,12.402078,0.508528,2.312709,5.85074,8.471044
Zambia,2010,83.00767,364,23.6,19.7074,9.219,AFR,ZMB,20265.559483854802,13.792095,0.546754,2.53849,6.424531,9.293192
Zambia,2015,85.11726,295,20.9,17.2602,7.196,AFR,ZMB,21251.2167987762,16.248231,0.588388,2.815071,7.393016,10.689098
Zimbabwe,2011,83.58271,440,37.4,34.3032,11.857,AFR,ZWE,14101.9203,13.025789,0.461781,2.083607,5.651078,8.259717
Zimbabwe,2014,88.69342,358,37.9,30.833,9.123,AFR,ZWE,19495.5196,13.855758,0.472525,2.256944,5.981857,8.717473
Zimbabwe,2015,86.87348,346,38.7,30.7352,8.774,AFR,ZWE,19963.1206,14.154937,0.46776,2.280912,6.068598,8.890474
