,Country,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Deaths,ParentLocationCode,Country Code,GDP,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
326,Oman,2008,0.20154838,0.789773035,0.26284255,4.697932982,1.449060432,3.471604325,0.670062244,86.62114,128,35.6,6.32,2.973,EMR,OMN,60905.4525357607,2.651032,0.059221,0.274339,0.779636,1.39461
327,Oman,2010,0.202268236,0.789867338,0.265384819,4.671075009,1.539558107,3.448563834,0.679010797,86.939,123,27.8,6.1,2.585,EMR,OMN,64993.4980494148,2.881915,0.063883,0.292768,0.775652,1.410578
328,Oman,2014,0.202879165,0.787228191,0.255660993,4.531789474,1.693957636,3.402352354,0.692663988,91.9812,113,20.9,4.68,2.243,EMR,OMN,92699.0897269181,4.009272,0.076909,0.366265,0.888078,1.525669
329,Oman,2015,0.202796603,0.787600174,0.256739735,4.535895115,1.704430225,3.412645768,0.691946103,93.03861,70,16.3,4.7,2.205,EMR,OMN,78710.7932379714,4.191784,0.079532,0.385124,0.933387,1.559118
330,Pakistan,2005,0.255199007,0.569032754,0.136563847,3.773923092,0.664356275,3.502285256,1.448218605,49.87364,200,14.4,10.9706,8.402,EMR,PAK,145208.562960767,174.3721,5.400739,25.848216,71.65812,107.28134
331,Pakistan,2006,0.255367683,0.569561164,0.137783729,3.779105847,0.665837074,3.480371415,1.455603319,54.15121,180,14.1,11.0039,7.831,EMR,PAK,161871.38550635998,178.06998,5.4284,26.044248,72.47264,109.19336
332,Pakistan,2007,0.255591238,0.570271803,0.139430371,3.785645396,0.671215579,3.431446443,1.465978371,52.13683,178,14.1,10.7349,7.798,EMR,PAK,184140.86999746,181.92453,5.527354,26.266476,73.32527,111.10922
333,Pakistan,2008,0.255834896,0.571057661,0.141445067,3.792701819,0.676407053,3.37791427,1.477507649,55.52637,177,14.2,10.5367,7.733,EMR,PAK,202203.748583854,185.93195,5.648359,26.571604,74.26071,113.04718
334,Pakistan,2009,0.256067527,0.571812913,0.143660826,3.799423794,0.681121908,3.331079457,1.488375806,54.89264,177,14.5,10.3004,7.703,EMR,PAK,187337.783856466,190.12323,5.743111,26.95774,75.25656,115.02429
335,Pakistan,2010,0.25625248,0.572420731,0.145176954,3.804878512,0.683895954,3.309058867,1.49675617,55.37519,175,14.7,10.1605,7.599,EMR,PAK,196709.621849586,194.4545,5.854949,27.433242,76.30674,117.041576
336,Pakistan,2011,0.256380897,0.572870786,0.146680542,3.809047431,0.683039713,3.305698169,1.503139925,54.73802,171,14.8,10.0153,7.524,EMR,PAK,230586.581059665,198.60274,5.95883,27.967126,77.37779,118.94296
337,Pakistan,2012,0.256475774,0.573253801,0.147999273,3.812764809,0.681412399,3.304081475,1.50925705,56.76434,170,13.8,9.97,7.479,EMR,PAK,250106.966104704,202.20586,6.033099,28.4523,78.41042,120.55928
338,Pakistan,2013,0.256540602,0.573574297,0.149771974,3.816045824,0.678546319,3.303639294,1.515051974,55.59499,168,13.7,9.98,7.333,EMR,PAK,258657.231672412,205.33755,6.072564,28.843156,79.38517,121.92562
