Country,Year,Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Deaths
Uruguay,2010,98.07271,156,17.1 [14.4-20.1],14.2563,0.197160143,0.778441618,0.36375798,6.288983185,0.950791378,3.522625776,1.140925902,9.369
Uruguay,2010,98.07271,80,17.1 [14.4-20.1],14.2563,0.197160143,0.778441618,0.36375798,6.288983185,0.950791378,3.522625776,1.140925902,9.369
Uruguay,2011,98.3359,117,17.5 [14.7-20.7],15.024,0.19731161,0.778796177,0.368551249,6.292557837,0.950216539,3.531081358,1.14993178,9.402
Uruguay,2011,98.3359,155,17.5 [14.7-20.7],15.024,0.19731161,0.778796177,0.368551249,6.292557837,0.950216539,3.531081358,1.14993178,9.402
Uruguay,2011,98.3359,81,17.5 [14.7-20.7],15.024,0.19731161,0.778796177,0.368551249,6.292557837,0.950216539,3.531081358,1.14993178,9.402
Uruguay,2012,98.39594,118,15.6 [13.1-18.4],16.0975,0.197510704,0.779205534,0.374344257,6.296650615,0.948192086,3.54272419,1.158649722,9.434
Uruguay,2012,98.39594,156,15.6 [13.1-18.4],16.0975,0.197510704,0.779205534,0.374344257,6.296650615,0.948192086,3.54272419,1.158649722,9.434
Uruguay,2012,98.39594,81,15.6 [13.1-18.4],16.0975,0.197510704,0.779205534,0.374344257,6.296650615,0.948192086,3.54272419,1.158649722,9.434
Uruguay,2013,98.36387,117,17.3 [14.4-20.3],14.1573,0.197752885,0.779671287,0.379651333,6.300965627,0.946045603,3.555893642,1.167107518,9.468
Uruguay,2013,98.36387,155,17.3 [14.4-20.3],14.1573,0.197752885,0.779671287,0.379651333,6.300965627,0.946045603,3.555893642,1.167107518,9.468
Uruguay,2013,98.36387,79,17.3 [14.4-20.3],14.1573,0.197752885,0.779671287,0.379651333,6.300965627,0.946045603,3.555893642,1.167107518,9.468
Uruguay,2014,98.43593,114,16.3 [13.7-19.2],15.7673,0.198023889,0.780174522,0.385983739,6.305186269,0.942263462,3.570160394,1.175063636,9.508
Uruguay,2014,98.43593,150,16.3 [13.7-19.2],15.7673,0.198023889,0.780174522,0.385983739,6.305186269,0.942263462,3.570160394,1.175063636,9.508
Uruguay,2014,98.43593,79,16.3 [13.7-19.2],15.7673,0.198023889,0.780174522,0.385983739,6.305186269,0.942263462,3.570160394,1.175063636,9.508
Uruguay,2015,98.52387,114,15.3 [12.7-18.2],16.6639,0.198323237,0.780699166,0.392487988,6.309359834,0.935037475,3.585182998,1.182337704,9.559
Uruguay,2015,98.52387,149,15.3 [12.7-18.2],16.6639,0.198323237,0.780699166,0.392487988,6.309359834,0.935037475,3.585182998,1.182337704,9.559
Uruguay,2015,98.52387,80,15.3 [12.7-18.2],16.6639,0.198323237,0.780699166,0.392487988,6.309359834,0.935037475,3.585182998,1.182337704,9.559
Uruguay,2016,98.56147,114,13.4 [11.0-16.1],18.7011,0.198641431,0.781259706,0.39854629,6.313554663,0.927601839,3.600302571,1.188668773,9.628
Uruguay,2016,98.56147,149,13.4 [11.0-16.1],18.7011,0.198641431,0.781259706,0.39854629,6.313554663,0.927601839,3.600302571,1.188668773,9.628
Uruguay,2016,98.56147,79,13.4 [11.0-16.1],18.7011,0.198641431,0.781259706,0.39854629,6.313554663,0.927601839,3.600302571,1.188668773,9.628
Uzbekistan,2000,98.64258,135,9.7 [8.2-11.4],12.0487,0.181315678,0.662105324,0.122557972,2.535703051,0.4387944,2.942992931,2.340397535,5.5
Uzbekistan,2000,98.64258,183,9.7 [8.2-11.4],12.0487,0.181315678,0.662105324,0.122557972,2.535703051,0.4387944,2.942992931,2.340397535,5.5
Uzbekistan,2000,98.64258,230,9.7 [8.2-11.4],12.0487,0.181315678,0.662105324,0.122557972,2.535703051,0.4387944,2.942992931,2.340397535,5.5
